contamination_pct,target_pct,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_w10,fpr_0208
19.27,20,9,0.5141075760126116,0.632728978285307,0.8126545327800107,0.6132075471698113,0.050605060506050605,0.6435643564356436,0.04245283018867924,0.0695970695970696
19.27,20,10,0.7041236132383348,0.7050341465376923,0.8384472110577394,0.6255924170616114,0.0484048404840484,0.6534653465346535,0.040880503144654086,0.06593406593406594
19.27,20,11,0.6807028144598014,0.7011803326683332,0.8243745166595868,0.6346153846153846,0.045104510451045104,0.6534653465346535,0.03773584905660377,0.06227106227106227
19.27,20,12,0.5001567617058755,0.6557788010656207,0.8249191255759238,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
19.27,20,13,0.49441469609737404,0.414805018098509,0.6309185373982943,0.36666666666666664,0.050605060506050605,0.32673267326732675,0.04245283018867924,0.0695970695970696
19.27,20,14,0.6817397743463517,0.7046919645044133,0.833665544772299,0.6027397260273972,0.05720572057205721,0.6534653465346535,0.04874213836477988,0.07692307692307693
19.27,20,15,0.6700530081987381,0.7052050282146617,0.830180047707741,0.6,0.058305830583058306,0.6534653465346535,0.04874213836477988,0.08058608058608059
19.27,20,16,0.6486302822828293,0.7027525529356131,0.8162053829145292,0.6226415094339622,0.04950495049504951,0.6534653465346535,0.040880503144654086,0.0695970695970696
19.27,20,17,0.6953800290822985,0.7028918332363913,0.8283392695705214,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
19.27,20,18,0.5004637733101847,0.654724066762035,0.8237645546732891,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
19.27,20,19,0.495699179172516,0.6336706074271488,0.8211504318748706,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
21.26,22,0,0.6863903373479846,0.7094330496095803,0.8464638543062227,0.6285714285714286,0.047304730473047306,0.6534653465346535,0.03930817610062893,0.06593406593406594
21.26,22,1,0.48843499422073366,0.44150707559818875,0.6716879608752955,0.3687150837988827,0.04950495049504951,0.32673267326732675,0.04245283018867924,0.06593406593406594
21.26,22,2,0.5751661062240601,0.7092761982510765,0.8486205056149179,0.6,0.058305830583058306,0.6534653465346535,0.04874213836477988,0.08058608058608059
21.26,22,3,0.690583422780037,0.7085677174607437,0.8457994314282915,0.631578947368421,0.0462046204620462,0.6534653465346535,0.03773584905660377,0.06593406593406594
